id,titulo,duracao,ano,artista_id,genero_id
173,Masterpiece (2023 Remaster),230,2016,97,1
174,Love Of My Life (Remastered 2011),217,1975,108,1
175,So Far Away,326,2010,109,1
176,Search and Destroy [2023 Remaster] [Iggy Mix],210,1973,110,1
177,Milkshake (Radio Mix),182,2003,111,1
178,Fever,246,2014,88,1
179,Back Against the Wall,228,2007,112,1
180,Christmas Time (Don't Let the Bells End),210,2003,113,1
181,Say It (To My Face),159,2023,19,1
182,Waltz #2 (XO),279,1998,89,1
183,Missing You This Christmas,187,2002,114,1
184,Flowers On A Grave,224,2020,115,1
185,Good Old-Fashioned Lover Boy (Live On BBC Top Of The Pops / July 1977),171,1976,108,1
186,The Shape I'm Takin',215,2022,14,1
187,Jailhouse Rock,146,1958,116,1
188,Downtown Train (2023 Remaster),232,1985,117,1
189,Best Song Ever,200,2013,118,1
190,Free Bird,549,1973,119,1
191,Evil Rock (2023 AD) [feat. Robert Calvert & Mick Taylor],283,2024,120,1
192,Happy X-Mas (War Is Over),214,2006,17,1
193,Lips Of An Angel,261,2005,121,1
194,JoJo (2023 Remaster),353,1980,39,1
195,Going Under (Remastered 2023),214,2023,69,1
196,2023,225,2019,122,1
197,Girlschool (2023 Remaster),263,1988,123,1
198,My Immortal (Remastered 2023),262,2003,69,1
199,Mi Banda Toca Rock (2022 Remasterizado),177,1981,124,1
200,What's This Life For,248,1997,37,1
201,R.O.C.K. In The U.S.A. (A Salute To 60's Rock) [2022 Mix],176,1985,125,1
202,Wonderful,280,2000,126,1
203,Hanging By A Moment,216,2000,127,1
204,Excuse Me Mr.,184,1995,128,1
205,Metalingus,259,2004,129,1
206,Closing Time,274,1998,130,1
207,The Difference,230,1996,131,1
208,I Come From The Water,166,1994,132,1
209,Sunburn,265,1998,133,1
210,Mary on a Cross,244,2019,134,1
211,2022,270,2022,135,1
212,"Socks, Drugs and Rock'n'roll (2022 Remastered)",193,1998,136,1
213,New Rock (2022 Remastered),310,1998,136,1
214,"I'm Made o Wax, Larry, What Are You Made Of?",180,2009,137,1
215,Great Five Lakes (KutMasta Kurt Mix) [2022 Remastered],322,1998,136,1
216,Story of My Life (feat. Trippie Redd),191,2021,138,1
217,2022,251,2008,139,1
218,Jellyfish Blues (2022 Remastered),197,1998,136,1
219,Great Five Lakes (2022 Remastered),340,1998,136,1
220,Duck And Run,230,2000,44,1
221,Tear Away,254,2001,140,1
222,One Last Time,199,2018,141,1
223,I Alone,230,1994,142,1
224,Out of Control,163,2003,143,1
225,Fooled Around And Fell In Love,277,1975,144,1
226,R&B (Rhythm & Basement) [2022 Remastered],267,1998,136,1
227,Gooey,289,2014,145,1
228,Super Blooper (2022 Remastered),514,1998,136,1
229,Don't Stop Believin'  (2022 Remaster),249,1981,146,1
230,I Stand Alone,246,2002,147,1
231,Bois Lie (feat. Machine Gun Kelly),163,2022,3,1
232,Riptide,202,2013,148,1
233,Airport Rock (2022 Remastered),40,1998,136,1
234,Autobacs (2022 Remastered),380,1998,136,1
235,Springsteen,263,2011,149,1
236,Runaway Train (2022 Remaster),266,1992,150,1
237,Casual Sex,193,2012,151,1
238,All American Nightmare,197,2010,121,1
239,No New Rock (2022 Remastered),159,1998,136,1
240,Have You Ever Seen The Rain,159,1968,40,1
241,Wildest Dreams,220,2014,152,1
242,Suffer,217,2015,153,1
243,Night Moves,324,1976,154,1
244,Ritual,210,2011,155,1
245,Two Tickets to Paradise,240,1977,156,1
246,Barefoot Blue Jean Night,169,2011,157,1
247,Sky High (2022 Remastered),332,1998,136,1
248,Get Lucky,369,2013,158,1
249,Demons,177,2012,13,1
250,Body Party,234,2013,159,1
251,Hear Me Now,214,2010,160,1
252,The Weight (Remastered 2000),274,1968,161,1
253,Natural,189,2018,13,1
254,Sad Guitar (2022 Remastered),228,1998,136,1
255,The People in the Attic,228,2015,162,1
256,Plastic,151,2022,163,1
257,Secrets,185,1999,164,1
258,Sugar,162,2022,165,1
259,Hot n Cold,220,2008,166,1
260,Spookmaster,151,1998,167,1
261,Bonediggin',280,1998,168,1
262,Come On Eileen (Single Edit),205,1982,169,1
263,Eleanor Rigby (2022 Mix),126,1966,170,1
264,Aging Orange,119,1996,171,1
265,Sail,259,2011,172,1
266,Just the Way You Are,220,2010,16,1
267,Green Light,234,2017,173,1
268,History,265,1995,174,1
269,Impossible,209,2012,175,1
270,Open Skies (Live at Independence Rock 2022),305,2024,176,1
271,No Tokyo (2022 Remastered),79,1998,136,1
272,Pieces of You,182,2021,177,1
273,Take Me,206,2004,178,1
274,Ridin' Solo,215,2010,179,1
275,Good Day Ray,118,1998,180,1
276,The Way (feat. Mac Miller),227,2013,181,1
277,I Can't Breathe,241,2017,182,1
278,R U Mine?,201,2012,183,1
279,BURN IT DOWN,230,2012,76,1
280,Freaking Out the Neighborhood,173,2012,184,1
281,Uma Thurman,211,2015,185,1
282,Open Arms (2022 Remaster),199,1981,146,1
283,Cool Change (Remastered 2022),316,1979,186,1
284,Old Time Rock & Roll,195,1978,154,1
285,Dibs,183,2014,187,1
286,Viva la Vida,241,2008,43,1
287,Reminiscing (Remastered 2010),257,1978,186,1
288,Jar of Hearts,246,2010,188,1
289,Red,223,2012,152,1
290,Nobody (feat. Matthew West),206,2018,189,1
291,Stone In Love (2022 Remaster),265,1981,146,1
292,The Joker,264,1973,190,1
293,Anywhere with You,210,2011,157,1
294,The Lazy Song,189,2010,16,1
295,Country Must Be Country Wide,214,2010,191,1
296,Hey - Let It Rock (2022 Remaster),59,1970,192,1
297,Yellow Submarine (2022 Mix),158,1966,170,1
298,Sky High + Down Sea (Jopolo Mix) [2022 Remastered],404,1998,136,1
299,Reelin' In The Years,275,1972,193,1
300,Waves,241,2016,194,1
301,Hey - Let It Rock (2022 Remaster),59,1970,192,1
302,Stuck In The Middle With You,205,1972,195,1
303,Simple Man,359,1973,119,1
304,Who's Crying Now (2022 Remaster),299,1981,146,1
305,Baby Hold On,213,1977,156,1
306,Jellyfish Blues (Scratch Pet Land Mix) [2022 Remastered],344,1998,136,1
307,Love Me Like You Mean It,200,2014,187,1
308,Cruise (Remix) [feat. Nelly],206,2012,196,1
309,Replay,209,2013,197,1
310,Wasting All These Tears,217,2013,198,1
311,Alone with You,211,2011,157,1
312,Layla,423,1970,199,1
313,2022,251,2008,139,1
314,Salad Days,145,2014,184,1
315,Love So Soft,172,2017,200,1
316,Black Summer,232,2022,14,1
317,Lady (Remastered 2022),289,1978,186,1
318,"Here, There and Everywhere (2022 Mix)",144,1966,170,1
319,Abat jour (2022 Remastered Version),160,1962,201,1
320,Notion,195,2016,202,1
321,On Melancholy Hill,233,2010,203,1
322,2022,236,2025,204,1
323,Flamenco rock (2022 Remastered Version),204,1960,201,1
324,Wildfire,166,2022,205,1
325,Lonesome Loser (Remastered 2022),241,1979,186,1
326,The Vengeful One,252,2015,24,1
327,Drink to That All Night,225,2013,206,1
328,Knee Socks,257,2013,183,1
329,Awake and Alive,211,2009,2,1
330,Please Don't Go,210,2015,207,1
331,The Passenger,281,1977,208,1
332,I Was Made For Lovin' You,268,1979,209,1
333,Goodbye in Her Eyes,324,2012,210,1
334,Doctor My Eyes (2022 Remaster),197,1971,211,1
335,Heal,195,2013,212,1
336,For No One (2022 Mix),119,1966,170,1
337,Teenagers,161,2006,11,1
338,Classic,175,2013,213,1
339,Black Smoke Rising,259,2017,214,1
340,Voices,224,2017,215,1
341,Marry Me,205,2009,216,1
342,Red Cold River,200,2018,62,1
343,American Pie,513,1971,217,1
344,Hurricane,243,2012,218,1
345,Homeboy,227,2011,149,1
346,Nothin' On You (feat. Bruno Mars),268,2009,219,1
347,I'm Only Sleeping (2022 Mix),180,1966,170,1
348,Take a Walk,264,2012,220,1
349,Drunk In Love (feat. Jay Z),323,2013,221,1
350,Maggie May,344,1971,222,1
351,Free Bird,549,1973,119,1
352,Tomorrow Never Knows (2022 Mix),177,1966,170,1
353,Taxman (2022 Mix),158,1966,170,1
354,Sweet Home Alabama,285,1974,119,1
355,The Fox (What Does the Fox Say?),213,2013,223,1
356,I Bet My Life,194,2014,13,1
357,Help,214,2017,178,1
358,Ridin' Solo,215,2010,179,1
359,Wings,252,2013,224,1
360,Your Best American Girl,212,2016,225,1
361,Meant to Live,199,2003,226,1
362,Got to Get You Into My Life (2022 Mix),149,1966,170,1
363,She Said She Said (2022 Mix),156,1966,170,1
364,Good Day Sunshine (2022 Mix),129,1966,170,1
365,Un Año,163,2019,227,1
366,A Surge of Energy (Future Horizons 402),238,2022,228,1
367,Turn Me On (feat. Nicki Minaj),199,2011,229,1
368,Believe,221,2015,230,1
369,And Your Bird Can Sing (2022 Mix),120,1966,170,1
370,Baby I'm Yours ,215,2010,231,1
371,Welcome to the Family,245,2010,109,1
372,Planet Zero,222,2022,17,1
373,Can't Keep It In,180,1972,232,1
374,Lovin' You Is Fun,200,2012,233,1
375,2Am,224,2022,234,1
376,Raise Your Hands To Rock (2021- Remaster),166,1985,235,1
377,Do You Like Worms (Roll Plymouth Rock) [2021 Stereo Mix],214,2022,236,1
378,Rock 2021,207,2021,237,1
379,This Woman's Work (2021 Remaster),240,2001,238,1
380,Let It Be (2021 Mix),243,1970,170,1
381,ROCK,193,2018,239,1
382,2021,57,2020,240,1
383,2021 (Has Been so Fun),150,2021,241,1
384,Start Me Up,214,1981,33,1
385,New Rock 2021,156,2021,242,1
386,Across the Universe (2021 Mix),228,1970,170,1
387,Las Mieles del Exito,138,2018,243,1
388,2021,340,2021,244,1
389,About Today (2021 Remaster),250,2004,245,1
390,Youth Of The Nation,259,2001,246,1
391,Tocando Fondo,220,2018,243,1
392,Get Back (2021 Mix),188,1970,170,1
393,The Long and Winding Road (2021 Mix),217,1970,170,1
394,Peace Train,253,1971,232,1
395,Morning Has Broken,199,1971,232,1
396,Boom,188,2001,246,1
397,Rock (Mixed),107,2021,247,1
398,Jamrock 2021 Riddim,206,2021,248,1
399,Lullaby of a Deadman (Live),239,2021,249,1
400,Zoo Rock 2021 (feat. Michvel Jvmes & Simon) [Round Version],135,2022,250,1
401,Peace Train,253,1971,232,1
402,Alive,203,2001,246,1
403,...Til the Cops Come Knockin' (Remastered 2021),415,1996,238,1
404,Waiting On A Friend,275,1981,33,1
405,Two of Us (2021 Mix),216,1970,170,1
406,Trippin' On A Hole In A Paper Heart (2021 Remaster),176,1996,251,1
407,I've Got a Feeling (2021 Mix),217,1970,170,1
408,Let It Be (2021 Mix),243,1970,170,1
409,Morning Has Broken,199,1971,232,1
410,Still Feel Like Your Man,234,2017,252,1
411,Pump It Up (2021 Remaster),198,1978,253,1
412,Let It Be (Single Version) [2021 Mix],232,1970,170,1
413,Dance With Me Tonight,202,2011,254,1
414,Big Bang Baby (2021 Remaster),203,1996,251,1
415,Safe and Sound,192,2011,255,1
416,Dig a Pony (2021 Mix),234,1970,170,1
417,Enemies,188,2012,17,1
418,Lonely Boy (2021 Remaster),193,2011,88,1
419,Beneath Your Beautiful (feat. Emeli Sandé),271,2012,256,1
420,Blank Space,240,2014,257,1
421,I Me Mine (2021 Mix),145,1970,170,1
422,Rock (Mixed),68,2021,247,1
423,For Evigt (feat. Johan Olsen),283,2016,258,1
424,Nuh Cross Mi Line,207,2021,259,1
425,Take Out the Gunman,258,2014,260,1
426,LAST KISS (Live from H-B Woodlawn Night of Rock 2021) (feat. Philip Juras),215,2021,261,1
427,Just Breathe,214,2009,262,1
428,The Disco Rock (2021 Remastered Version) [Vocal Version],208,1975,263,1
429,The Way You Used To Do,274,2017,264,1
430,Harlem Shake,196,2012,265,1
431,Best to You (feat. Empress Of),225,2016,266,1
432,"Empire State of Mind, Pt. 2",216,2009,267,1
433,Up&Up,405,2015,43,1
434,Jar of Hearts,246,2010,188,1
435,The Long and Winding Road (2021 Mix),217,1970,170,1
436,Brick By Boring Brick,253,2009,7,1
437,Waiting for the End,231,2010,76,1
438,LOST IN THE ECHO,205,2012,76,1
439,Trouble Nuh Set Like Rain,206,2021,268,1
440,Wait for Me,210,2013,269,1
441,What Makes You Beautiful,198,2011,118,1
442,New Rock 2021 (Breakdown Version),164,2021,242,1
443,Don’t Let Me Down (First Rooftop Performance),209,1970,170,1
444,One After 909 (2021 Mix),174,1970,170,1
445,For You Blue (2021 Mix),152,1970,170,1
446,Marvin Gaye (feat. Meghan Trainor),190,2015,270,1
447,We Will Rock 2021,340,2022,271,1
448,This Is War,327,2009,15,1
449,Wrong Side of Heaven,271,2013,82,1
450,Hungry Days,206,2021,272,1
451,Bang Bang,205,2016,273,1
452,Chanel No.5 No On The Rock (2021 Remastering For Grand Espoir),242,1982,274,1
453,Solitude Is Bliss,235,2010,275,1
454,Morning Light (feat. Alicia Keys),243,2018,276,1
455,Maggie Mae (2021 Mix),40,1970,170,1
456,Say Something,233,2013,277,1
457,wonderful life (feat. Dani Filth),274,2019,278,1
458,How Can I Tell You,266,1971,232,1
459,Quiero Rock (2021 Remastered Version),150,2022,279,1
460,Dig It (2021 Mix),50,1970,170,1
461,Supersoaker,230,2013,269,1
462,What Do You Want,214,2009,206,1
463,Across the Universe (2021 Mix),228,1970,170,1
464,On the Floor (feat. Pitbull),284,2011,280,1
465,Riders on the Storm (Unplugged),163,2015,281,1
466,Wings,220,2012,282,1
467,Dark Side,177,2021,283,1
468,Don’t Let Me Down (Single Version) [2021 Mix],248,1970,170,1
469,Troubles A’ Comin,256,1981,33,1
470,Falls (feat. Sasha Alex Sloan),232,2017,284,1
471,As She's Walking Away (feat. Alan Jackson) [Greatest Hits Version],223,2010,210,1
472,Andromeda,280,2019,285,1
473,Radioactive,206,2010,269,1
474,"Radio, Radio (2021 Remaster)",187,1978,253,1
475,Help Is On the Way,237,2011,286,1
476,Heaven,230,2013,221,1
477,Sirens,341,2013,262,1
478,Emma (Crunck Rock 2021) (feat. Bølla & Kisen),137,2020,287,1
479,Runaways,246,2012,288,1
480,Hang Fire,141,1981,33,1
481,Two of Us (2021 Mix),216,1970,170,1
482,Little Black Submarines (2021 Remaster),251,2011,88,1
483,Satellite,210,2001,246,1
484,In The End,228,2012,155,1
485,Such Small Hands,95,2008,289,1
486,The Disco Rock (2021 Remastered Version),208,1975,290,1
487,Little T&A,204,1981,33,1
488,Helplessness Blues,303,2011,291,1
489,Surrounded by Light,398,2020,292,1
490,Watch You Sleep,254,2018,293,1
491,Do Me a Favor,224,2013,294,1
492,Moneygrabber,189,2010,295,1
493,Gold,285,2014,296,1
494,Pirate Flag,225,2013,297,1
495,Nearly Forgot My Broken Heart,234,2015,298,1
496,I've Got a Feeling (2021 Mix),217,1970,170,1
497,Just Can't Be with Me,205,2021,299,1
498,Dead and Gone (2021 Remaster),221,2011,88,1
499,New Age Girl (2021 Edition),196,2021,300,1
500,The New OK,265,2020,301,1
501,Ordinary Man,302,2020,302,1
502,Oh Yeah!,171,2020,273,1
503,Dance Of The Clairvoyants,265,2020,262,1
504,2020,253,2013,303,1
505,Jungle Rock (2020 Remaster),157,1987,304,1
506,Shame Shame,257,2020,305,1
507,Canon Rock 2020 (feat. Jerry C),250,2020,306,1
508,Cicada Rock 2020,180,2020,307,1
509,Rock,186,2020,308,1
510,2020,241,2022,309,1
511,2020,254,2021,310,1
512,2020,161,2020,311,1
513,2020,167,2021,312,1
514,The Good Ones,215,2020,313,1
515,Bad Liar,260,2018,13,1
516,La Madriguera (Streaming Pilsen Rock 2020 - Por la Música),178,2021,314,1
517,Wonder,172,2020,315,1
518,2020,303,2020,316,1
519,Bones,165,2021,13,1
520,What a Man Gotta Do,180,2020,317,1
521,cardigan,239,2020,152,1
522,2020,215,2023,318,1
523,Black Sheep (feat. Brie Larson) [Brie Larson Vocal Version / Bonus Track],294,2021,319,1
524,Rock,186,2020,308,1
525,El Beso (En Vivo Cosquín Rock 2020),203,2022,320,1
526,Lost in Yesterday,249,2020,275,1
527,Don't Waste My Time (feat. Ella Mai),199,2019,321,1
528,Level of Concern,220,2020,106,1
529,2020,482,2023,322,1
530,Enter Sandman,331,1991,323,1
531,Father and Son,221,1970,232,1
532,2020,77,2021,324,1
533,Wagon Wheel,298,2013,325,1
534,Hold On To Me,185,2021,326,1
535,Ophelia,160,2016,327,1
536,Cigarette Daydreams,208,2013,112,1
537,Sparks,227,2000,43,1
538,Millionaire,210,2017,328,1
539,my ex's best friend,138,2020,329,1
540,Welcome to the Black Parade,311,2006,11,1
541,Arkansas,178,2020,328,1
542,Space Song,320,2015,330,1
543,Wild World,200,1970,232,1
544,Panini,114,2019,331,1
545,Me and My Kind,156,2014,332,1
546,U Can't Rock 2020,447,2020,333,1
547,Romantic Homicide,132,2022,334,1
548,Animal I Have Become,231,2006,99,1
549,Breakeven (Falling to Pieces),261,2008,48,1
550,All Summer Long,296,2007,335,1
551,Higher Power,211,2021,43,1
552,favorite crime,152,2021,336,1
553,Good as Hell,159,2016,337,1
554,Sweetness,220,2001,338,1
555,Work Song,229,2014,339,1
556,Demasiado (En Vivo Cosquín Rock 2020),260,2021,340,1
557,Ain't It Fun,296,2013,7,1
558,Clocks,306,2002,43,1
559,Háblame De Ti (Live at Cosquin Rock 2020),214,2021,341,1
560,Take It Easy,211,1972,342,1
561,Cooler Than Me (Single Mix),213,2010,343,1
562,Electric Feel,229,2007,344,1
563,Ohms,250,2020,345,1
564,Bad Decisions,293,2020,346,1
565,Jah Party (Live at Cosquin Rock 2020),241,2021,341,1
566,Shot in the Dark,185,2020,50,1
567,Titanium (feat. Sia),245,2011,229,1
568,Alerta Roja (Live at Cosquin Rock 2020),309,2021,341,1
569,More Than a Feeling,285,1976,347,1
570,Still Into You,216,2013,7,1
571,Picture (feat. Sheryl Crow),298,2001,335,1
572,Midnight City,241,2011,348,1
573,Crazy,182,2006,349,1
574,My Kind of Woman,190,2012,184,1
575,Fade into You,295,1993,350,1
576,Hells Bells,312,1980,50,1
577,Sailor Song,211,2025,351,1
578,Nothing Else Matters,388,1991,323,1
579,Moove It and Groove It (Live at Cosquin Rock 2020),247,2021,341,1
580,Like a Stone,293,2002,352,1
581,Way Down We Go,219,2015,353,1
582,I Don't Dance,239,2014,354,1
583,Let It Happen,466,2015,275,1
584,Basket Case,182,1994,273,1
585,Made For Me,188,2023,355,1
586,Oui,238,2015,356,1
587,Whiskey Lullaby (feat. Alison Krauss),259,2003,357,1
588,Dream On,267,1973,358,1
589,Stargazing,172,2024,359,1
590,Say Something,229,2013,360,1
591,A Holly Jolly Christmas (Single Version),135,1964,361,1
592,Otro Atardecer,244,2022,362,1
593,2020,12,2025,363,1
594,Sangria,234,2014,364,1
595,Clarity (feat. Foxes),271,2012,365,1
596,Master of Puppets,515,1986,323,1
597,Mr. Jones,272,1993,366,1
598,You Found Me,241,2008,367,1
599,Jump,241,1983,368,1
600,Climax,232,2012,321,1
601,Drink In My Hand,191,2011,149,1
602,Miles On It,168,2024,369,1
603,Last Friday Night (T.G.I.F.),230,2010,166,1
604,Sweet Lady,290,1998,370,1
605,LIFE AFTER SALEM,210,2021,331,1
606,Lion Army (Fuego en Sus Ojos) (Live at Cosquin Rock 2020),271,2021,341,1
607,2020,167,2021,312,1
608,Immigrant Song,146,1970,371,1
609,You and Tequila (feat. Grace Potter),242,2010,297,1
610,Your Man,211,2005,372,1
611,The House That Built Me,236,2009,373,1
612,Float On,208,2004,374,1
613,Toxicity,218,2001,375,1
614,Chasing Cars,265,2005,376,1
615,Black,342,1991,262,1
616,Knockin' On Heaven's Door,149,1973,377,1
617,Piano Man,339,1973,378,1
618,The One That Got Away,227,2010,166,1
619,Tiny Dancer,377,1971,379,1
620,Sweet Dreams (Are Made of This),216,1983,380,1
621,Miss Me More,192,2017,187,1
622,Angie (2020),272,1973,33,1
623,Like a Boy,237,2006,159,1
624,2020,181,2025,381,1
625,Somewhere Only We Know,238,2004,382,1
626,Tear in My Heart,188,2015,106,1
627,Peter Pan,200,2015,187,1
628,Touch My Body,204,2008,383,1
629,Diamonds,225,2012,384,1
