usuario_id,musica_id,contagem
1202,19691,7
622,11687,89
1822,42960,56
1411,22430,37
1699,46997,21
1532,12132,24
1123,25594,51
723,45612,3
14,41671,1
262,23837,96
728,18212,83
573,22799,59
1016,23406,54
1179,18947,41
998,20184,1
1648,26872,55
119,27779,87
559,45449,4
728,21278,2
240,25539,9
1955,23054,14
715,30587,91
1097,25376,56
408,12047,25
573,23436,31
435,18545,5
1293,3104,77
1523,11875,71
379,46340,21
520,14330,45
91,37162,48
1605,16518,14
1873,21921,10
1745,27131,8
1857,14507,10
704,4806,50
602,24561,18
26,28568,54
645,40228,95
255,1612,91
1173,38166,78
1857,43446,17
802,29731,33
1690,29019,10
1661,21014,73
1580,13939,59
1944,14723,22
815,6670,74
165,163,72
1469,4203,46
1814,46155,60
949,39937,5
107,35636,88
1773,16333,68
663,3636,36
929,11307,43
1280,45184,62
1129,42860,34
1913,31854,17
1829,40626,38
541,25461,99
1675,36964,13
610,8289,31
367,12235,55
1723,41544,80
706,5416,29
477,38257,93
983,38976,65
282,40733,90
1104,35676,25
936,25862,95
14,27869,57
1570,48590,13
718,8138,86
800,36305,10
1314,16516,55
1934,7467,48
1644,1866,15
1728,33966,13
1867,21712,76
1719,9583,71
366,12416,20
1613,39007,25
954,43247,60
491,24603,32
1517,39597,36
246,42746,24
1395,21938,51
1266,27508,47
90,15733,94
976,31321,20
1949,28967,76
855,29196,46
42,46360,60
663,30240,10
557,16415,32
58,23458,90
1023,7199,72
1284,6717,83
808,18456,98
1047,38435,67
462,12643,16
1708,4251,89
876,7553,81
1574,5530,41
1204,45528,71
1883,3787,55
1281,46518,52
1753,26554,53
433,36047,19
789,1884,96
4,12669,56
1168,46752,77
1954,8557,42
1512,36317,6
1036,47704,97
623,26287,49
1745,717,83
1451,43073,92
23,38801,19
684,48092,62
1370,47530,48
119,13551,68
1445,16240,16
602,9846,76
1245,36257,93
1766,29387,87
13,33155,64
1175,33082,94
1248,5633,69
1141,8319,24
1157,4242,33
1657,17624,27
98,5150,27
184,49574,69
115,10969,45
763,19998,8
197,17804,96
125,18275,86
1948,21254,87
1275,21161,15
797,24297,75
631,18305,79
693,8502,20
32,24954,50
1257,30895,31
1171,2074,80
1140,31232,96
1330,45451,43
47,22480,35
508,19757,7
1888,13098,16
1850,25352,77
106,18168,5
1146,26601,43
521,48384,95
1680,31820,15
926,46180,46
189,25036,9
1948,28457,56
66,45488,37
1607,6560,62
206,7077,62
1065,25481,96
234,3354,31
1148,34452,81
674,33628,12
319,36584,29
1884,5231,93
1753,24655,15
1406,15380,54
487,22126,31
1823,21926,47
924,841,79
1967,5993,23
1338,40395,10
802,7894,31
1283,5304,86
1239,13185,100
695,36849,30
383,47657,36
1450,23010,95
596,11168,37
1663,37508,23
525,25659,59
1008,37631,71
1879,12876,67
1889,18781,95
1566,36754,26
755,27292,89
762,30814,8
931,46472,56
911,23300,80
1316,46386,43
298,44731,92
1830,17361,47
1054,19050,50
423,36261,24
422,20258,46
1979,2884,30
1729,28406,32
699,24005,55
132,43914,23
1728,15742,46
1082,46459,43
1926,26162,61
1739,23552,24
1720,2639,4
1202,44257,18
1017,18721,12
472,7398,23
1070,40469,32
1585,47337,6
1843,1337,57
425,21305,36
1565,3745,62
350,31497,39
558,16599,25
669,1550,40
947,34539,55
100,49422,12
1876,33135,48
67,31457,83
1165,43819,97
51,20932,65
1028,39694,95
429,36716,17
233,42340,99
929,28027,20
1119,32712,97
1553,1659,95
902,10103,46
1850,18915,26
1709,28963,31
632,40026,61
76,23672,33
85,33412,10
1570,12198,16
1375,16387,38
808,4572,42
972,39925,12
59,35788,99
588,49529,42
1184,23587,67
310,43762,99
1922,33309,54
322,2828,3
783,20040,60
860,23191,53
810,40377,71
1770,21685,62
932,9643,4
1904,42673,11
21,33441,96
314,9980,44
179,27053,63
1070,40093,78
518,23176,37
1188,47424,65
1860,36782,81
1861,44235,69
1559,42051,18
285,15233,46
1739,25519,50
1463,31333,4
878,2018,94
1225,2689,6
1509,33306,8
963,23637,100
1398,2968,78
1685,28850,84
1479,49313,92
1462,14093,46
1549,49335,58
720,35622,75
161,22259,53
441,8569,22
902,30294,90
1989,1447,33
1961,41125,79
1507,42680,92
117,37506,31
1782,11238,34
141,36871,31
653,7299,99
577,13983,57
1963,47885,64
1389,18598,86
121,34930,12
738,26671,16
1072,25593,76
323,4560,93
1367,14157,58
844,29783,17
136,39644,78
1324,10355,17
1813,21150,68
1032,33496,74
1843,47963,12
1147,766,37
873,39063,21
285,43319,5
1618,34773,85
1339,38682,95
319,38388,20
706,46601,58
906,40038,58
1995,29983,48
910,9468,56
1128,30205,70
802,46156,70
711,17232,48
1604,41416,100
1063,48446,81
467,47072,7
1594,16696,16
1202,9309,72
1796,45046,26
279,31430,50
464,48921,96
764,11016,9
5,1250,36
1426,33730,51
1838,41616,32
1898,34561,28
1979,36143,16
426,47518,3
1161,13134,25
1254,24116,64
547,9239,37
1456,42211,2
555,39418,93
1412,41503,39
1239,41097,93
573,17591,5
1134,38001,32
681,41994,4
1755,17712,68
1170,19310,59
194,15938,68
671,9412,1
1395,28977,75
310,40267,45
1506,3875,54
1194,32565,62
1636,43100,69
395,22863,5
314,10005,92
405,8233,3
574,43113,2
975,25553,60
719,36860,70
634,40000,80
798,14012,45
768,35493,27
684,18797,4
544,32047,76
791,30530,80
358,18048,38
971,43284,21
1528,8816,59
1933,16330,4
622,34967,9
431,29344,65
1627,20386,74
1032,15572,87
842,381,16
460,43858,16
361,27748,24
1930,16451,57
789,27989,7
1139,22305,20
1118,39644,11
1206,34674,94
754,41468,9
1463,12330,85
850,31014,57
838,34774,73
1743,15238,41
1884,6227,31
1210,26639,39
408,30724,15
2000,44379,10
1439,27778,77
875,5757,68
1065,28372,37
92,40239,99
1048,4779,40
962,12806,95
1425,37646,29
988,7200,18
683,5437,30
1931,894,35
541,28407,46
197,32298,13
1259,31633,48
1583,4471,2
715,13801,29
1346,15857,2
1635,39526,83
378,10951,52
964,44744,61
1806,27203,90
1390,47925,92
901,8531,44
1750,25542,25
939,8388,12
1606,11007,12
1208,23511,79
538,41113,82
675,2017,94
1941,29042,89
1195,18890,7
1987,6152,88
1998,17523,98
621,25665,73
324,8155,77
1100,6221,39
314,8333,99
1482,48648,46
128,37017,3
1119,23840,46
1993,792,15
472,33009,85
1563,7917,23
1098,42975,100
46,26543,62
257,42057,39
1249,5839,87
849,42230,41
1285,3977,14
1016,26667,26
1016,47730,87
442,46722,30
1228,33495,74
613,14345,29
358,5745,86
1795,9908,11
660,31842,20
22,38334,80
1966,49385,77
1779,1945,19
1649,47273,11
965,5143,74
1538,34008,86
1735,27394,71
311,4548,30
1360,36396,70
1228,42628,17
194,23369,67
175,35639,76
1427,10178,43
1108,7330,16
1734,7615,46
1840,15339,52
1301,39098,52
1792,10029,20
1882,39728,69
757,31741,47
259,13371,93
1872,5353,7
522,36293,79
1891,48318,7
1815,14524,14
1189,19342,93
306,17590,30
602,21431,70
620,32320,61
1283,15009,3
1309,39157,53
767,5960,84
723,42679,31
1605,37332,67
1800,17142,1
988,13457,44
750,21786,37
1361,35179,92
1840,6510,2
844,39585,41
1698,18423,91
674,49252,91
1640,34870,19
351,16830,98
689,3610,78
1140,48442,42
683,28127,13
96,3326,7
1512,91,95
517,9192,93
582,25036,8
56,18435,23
988,31569,88
1784,27773,15
1735,40352,89
242,35541,99
1223,22679,22
404,48756,35
627,16947,88
860,3595,84
735,40354,63
1686,11146,12
344,32795,50
989,22948,52
1257,7080,25
1524,18824,63
1841,9667,15
1544,20538,73
1864,47927,15
1930,37908,47
1210,20330,99
744,26415,61
570,24837,60
1158,35899,3
474,12061,12
1281,6015,33
1183,21496,83
849,38570,42
210,29410,29
1707,27571,66
1708,11579,62
1121,39758,17
1363,11200,34
1137,21212,76
784,41559,28
742,44754,76
1833,10324,27
1702,8754,43
521,29638,31
720,21549,92
1220,47247,96
586,20324,81
934,24030,60
129,32532,89
806,7875,85
1402,36181,1
1259,27499,22
1728,43935,20
506,26789,66
1053,28052,90
1183,20616,87
931,4995,24
33,25057,53
1721,9386,35
801,3845,99
1548,28325,36
597,14311,33
1095,44895,94
203,37621,81
688,2627,4
1449,10738,50
238,43392,46
80,25362,20
572,2901,71
637,33371,25
1332,24543,31
427,10198,13
451,15653,3
123,34162,73
1160,8439,75
1623,48749,63
264,34904,33
668,4604,76
137,1293,21
319,38751,46
1920,38408,52
1559,16440,97
39,29508,89
1609,42005,39
142,11869,19
1556,22144,10
1102,21228,39
1049,12622,97
120,1711,99
1232,25772,48
1938,46562,82
1027,27095,80
1207,27147,54
1922,6195,20
1682,39,79
1540,43659,44
517,38219,20
258,36674,70
1077,32343,69
509,24254,89
319,37287,87
1744,39420,36
1404,23496,77
723,12731,5
219,29601,1
1588,49168,52
727,25482,19
1672,19425,20
842,6332,65
1470,6225,89
911,22476,52
1342,44367,35
1048,5612,9
1745,34342,40
1869,28084,98
1282,8466,56
1147,20238,70
1303,32668,39
1203,41814,71
978,43229,69
463,31806,32
349,19119,65
1796,20852,3
662,40964,13
480,22892,25
1830,17919,54
1836,42833,44
517,17417,6
394,36058,65
987,44685,94
453,25260,84
666,35824,69
474,31054,71
1586,5941,20
216,30249,31
1123,6475,80
1081,26426,39
997,7524,8
1275,32203,84
1063,32676,59
822,17026,80
1099,2700,89
1663,1189,24
1022,46050,59
65,33004,66
910,40621,98
1213,16017,82
173,49575,69
1877,29459,15
995,18177,57
377,11835,69
967,48148,100
598,20315,35
637,15587,12
1334,9678,93
480,45817,33
639,21098,83
1492,34588,91
545,48507,100
1037,48851,73
1919,33700,96
166,49019,13
482,39157,62
1581,32114,6
1340,30345,7
554,40777,89
737,15387,35
443,43053,38
562,40570,98
422,29678,19
764,41859,39
600,922,78
1671,11099,1
459,17357,41
1913,21020,9
508,17197,68
130,38157,73
638,13488,35
1948,29178,40
264,31814,10
308,28365,77
1922,47458,97
587,5941,46
1399,37359,94
282,25768,24
1050,27391,90
1769,28579,71
1255,1627,59
1754,20457,58
1792,6566,17
1947,41354,11
280,43076,85
381,24575,53
325,42924,2
1295,3787,22
255,40753,83
1138,47205,50
1021,33332,59
151,11949,85
1221,12985,18
542,324,18
1542,28703,28
622,45869,31
530,8974,9
1946,5821,43
561,21038,18
1440,30355,93
1631,24901,8
970,25768,49
44,46236,95
1943,48043,11
504,3106,81
1215,31917,73
535,24662,30
608,44663,17
633,24146,21
182,11144,36
552,18438,100
1732,18943,25
1366,20686,90
325,1592,3
603,12677,73
308,39411,6
1141,37169,63
1104,34158,13
1914,15274,44
466,1190,78
17,17424,83
636,22210,37
1688,28689,31
567,12952,28
1433,30754,39
1085,3666,73
1493,20416,86
8,7281,10
1850,8779,64
1391,37006,47
583,28330,16
631,3371,33
1401,23738,80
89,15109,18
1889,32990,24
549,2291,46
1335,40458,15
204,31991,95
1475,14130,48
608,40040,32
1077,43293,13
513,7188,54
83,47543,28
1498,17186,19
490,47518,33
337,36330,7
1683,16364,27
894,40676,50
726,37878,83
22,48578,59
263,46028,91
1658,48957,56
219,32129,48
544,43872,48
1062,33311,14
1484,31875,88
1209,8674,97
527,27307,27
1666,12511,95
1924,23842,61
1046,30305,4
815,40404,13
1090,44084,100
1824,971,91
40,47682,46
1706,49460,91
1811,41237,51
646,18532,81
1269,13406,40
1397,14939,44
297,10960,87
509,31477,24
299,4762,68
560,18085,93
1883,6044,64
366,49579,42
1725,30603,76
416,38852,22
234,23620,67
1029,28385,60
1066,26221,30
729,4515,98
1995,24244,17
1154,28047,53
1351,48571,42
259,9474,92
1591,49028,58
471,48318,93
728,10760,22
1381,35702,30
1627,47043,22
1893,2002,59
127,43006,17
1788,33586,64
1964,28392,7
304,2194,82
1548,22102,68
977,10489,39
355,5373,41
793,45903,20
90,39533,46
508,27719,11
602,8007,20
81,16631,20
332,4273,12
1330,38214,23
385,6786,60
1405,24612,9
1832,40651,22
1069,49057,88
271,27566,4
931,36532,46
951,20753,23
764,39408,22
1847,3924,69
2,24762,93
817,41189,11
1924,25122,73
1263,36487,75
937,4767,67
1064,20878,38
856,19192,34
241,14248,56
1739,48539,15
893,20032,13
763,45650,5
839,26750,76
104,26946,81
1620,31458,66
1122,34253,96
1675,40625,13
1369,28248,13
1639,32757,81
913,29807,59
1688,40379,93
857,13966,75
1230,36469,65
575,19967,23
1965,17594,76
338,35324,36
1123,22101,90
1238,25290,67
1868,45261,39
1667,31497,86
216,37675,20
868,5859,70
825,43018,32
1699,48750,43
1768,35234,23
463,1505,27
448,2571,99
1173,21478,98
43,3988,42
419,42683,67
566,18077,56
1,29736,23
1569,22226,72
1254,1406,55
1109,21576,47
734,43277,25
1564,10110,39
97,40675,73
1801,7815,5
736,32892,97
622,45127,99
1775,10955,95
195,20575,25
732,40390,85
750,10546,80
935,21483,19
684,29744,19
708,24293,16
1553,19256,5
1523,37428,71
1528,25106,81
1296,16168,52
1617,35831,48
1126,37192,19
1474,6062,85
1479,3403,80
158,36226,48
1645,27341,31
1546,31236,32
1040,15381,56
1484,49229,88
1826,7693,41
22,31478,90
120,4986,35
644,31334,30
430,24243,60
349,25106,98
488,17263,33
84,4643,84
1385,3950,70
940,4005,35
709,29738,56
596,45122,32
122,13966,34
1919,49817,86
1587,14537,84
1922,10506,85
1323,48144,91
102,16502,80
352,6768,95
455,40109,58
1396,31627,59
1157,30022,75
201,41940,32
943,2222,97
1502,10204,8
470,28027,3
435,49908,11
204,49505,42
1146,5526,59
1527,21800,88
429,32114,6
1311,37015,25
935,4532,49
1828,29335,80
1558,504,20
968,12292,32
1546,5251,44
339,22290,63
847,4381,58
1802,33023,71
1384,37795,58
1855,21240,57
1431,19072,12
71,8165,59
890,36784,30
1009,9624,55
880,10195,40
595,38410,9
1360,45331,60
1511,5489,34
1526,7523,55
942,44848,25
863,21766,1
685,34254,69
1072,27707,51
282,2186,18
359,1497,57
540,43018,74
1467,25398,33
479,18274,79
1404,40899,96
1374,42796,29
1559,29305,92
727,9959,67
1593,30177,82
374,23569,57
418,15991,61
1894,36669,79
1038,37880,86
1290,38818,61
342,22366,32
474,30666,62
1417,12252,52
763,32752,53
1415,34669,8
684,44415,90
766,11595,42
1792,27863,78
1599,19571,66
455,29578,67
232,39416,35
1234,30795,30
180,39648,11
1429,10234,58
69,501,80
587,3626,64
1542,16393,79
1984,7021,86
388,15356,81
477,27145,99
1624,30784,9
611,17753,1
24,36729,2
443,30954,7
852,19734,70
36,46653,92
1198,48309,42
207,7045,13
803,21827,1
1624,19876,67
592,40601,2
1834,19205,97
714,23718,17
1237,31656,80
696,32164,100
683,28566,12
201,18977,39
1605,2923,33
580,19889,17
569,2481,37
1309,5384,97
480,11190,70
1913,47781,20
1113,34425,14
396,32838,25
1632,2566,10
508,5438,58
610,13016,89
1931,43826,48
156,33857,74
1202,9658,56
1291,22590,88
1452,21134,64
557,23269,57
831,7461,10
1622,34268,17
1107,24730,36
755,35188,12
208,12831,30
770,26192,8
1632,1502,32
1226,36443,46
1684,33900,23
773,19579,17
507,10737,9
257,10560,28
345,24051,11
1294,38303,33
1664,26839,31
1340,49507,12
526,19052,31
1413,7141,12
1090,11667,30
236,26640,4
1904,681,77
392,47709,52
1504,35348,44
1653,43598,59
845,33438,8
744,7128,9
1254,44824,84
1029,35681,3
1502,37584,37
1855,24038,46
1983,30407,93
1444,4811,25
1232,16935,97
1647,21020,5
252,28722,47
758,28502,77
1552,813,11
1628,30419,71
356,24238,38
952,28266,28
1663,2520,65
1911,7038,96
1094,1694,64
480,910,74
1563,32847,6
1207,29228,72
943,13727,35
397,30017,98
1196,48745,76
1775,33066,44
1346,4434,73
991,38254,77
732,20715,22
168,9232,89
1910,21533,9
147,11304,44
792,16675,8
1184,31304,57
297,46788,25
215,36846,30
371,36622,39
1526,19261,86
872,29838,56
1156,14458,10
226,25042,53
463,12504,59
113,14400,55
539,4632,58
18,34921,82
845,11224,73
191,5136,46
1391,41257,28
1732,12012,68
937,38313,76
1730,43897,95
24,20200,15
910,750,41
80,435,50
1702,35514,35
1619,38407,32
638,24496,83
1882,16520,64
1101,6445,64
1918,35158,21
1502,11790,53
1645,43809,63
1399,32735,37
1911,10885,64
393,7735,1
1315,3014,29
556,9049,16
299,15426,8
1109,43471,16
1759,34105,70
986,23987,67
1848,35204,21
103,45486,3
205,47278,97
424,10418,93
414,48265,58
180,10574,69
1165,47476,86
657,18466,69
173,15894,77
1423,39863,55
118,39892,76
1912,30476,7
1761,21417,98
582,19504,86
739,45129,64
981,21619,66
942,11251,80
1987,18407,96
28,33610,5
1496,23407,9
1149,41859,88
821,15226,88
854,41127,62
163,37652,68
1968,37681,47
987,17785,98
776,29906,31
1877,32148,87
765,221,14
215,3799,65
688,44371,28
1761,38705,11
1703,48135,25
1491,16692,72
1458,37570,85
1588,33411,44
1983,45490,9
307,40862,46
988,11781,61
1063,21391,96
1320,19426,1
1767,37430,5
651,20296,32
1585,1829,50
544,11527,94
755,45422,36
125,34120,11
91,23415,82
1939,10581,40
1639,24719,43
1736,1018,9
1267,3944,60
1678,35191,72
1462,35609,37
1881,39149,44
6,34907,28
1143,33996,53
1689,10790,21
686,45625,25
1977,18167,86
547,41349,30
792,11607,91
1520,22726,100
1756,49417,9
429,46948,10
1157,19548,57
302,49257,33
1416,18376,24
1714,14440,91
815,28591,81
1696,6120,48
1840,28960,60
1279,15629,71
957,12014,79
419,43073,54
1325,29808,41
1112,45258,60
179,4519,95
191,10987,16
1804,40756,53
1454,39430,31
1590,42789,84
32,15448,56
609,21484,56
798,15333,46
1553,46316,39
1961,895,97
826,43390,88
1406,41808,95
1322,17078,76
1272,24076,14
1360,24061,12
203,37945,74
1336,18540,97
199,38217,78
647,23921,6
155,16739,55
1894,29148,57
175,8917,12
1760,10987,13
469,32325,93
753,24375,35
80,25620,20
784,13377,49
223,2162,27
1180,44324,27
1894,47369,98
101,34912,7
1389,2463,43
866,27595,89
294,39926,15
739,4692,85
107,48427,53
518,38282,87
1365,30229,40
1537,46806,22
1766,36340,4
581,8321,79
417,40212,1
343,3534,79
719,49322,40
1467,28402,94
445,11738,46
1381,1037,98
82,16797,39
1563,28177,80
790,21067,79
290,46458,3
552,36854,7
1345,22673,8
1612,23439,30
1037,40680,62
201,9829,48
1073,35671,74
1506,41021,33
845,29471,15
1335,27719,2
134,31375,83
131,36260,39
1415,24305,6
1952,39771,49
1221,35607,12
646,15234,7
1940,24635,33
201,11645,55
1470,48823,68
177,5440,52
1111,31367,40
1214,5756,57
1192,31615,88
37,15097,56
1518,45278,70
1176,33162,33
329,20693,67
1403,45840,12
1785,39390,71
1036,27240,75
763,9914,14
225,23897,34
891,33595,82
1684,27193,54
1179,3765,16
1319,23103,88
1481,2545,96
307,44728,24
1384,31549,22
1510,31899,91
728,49593,42
59,16508,30
1098,3240,11
1727,7493,7
246,35649,12
84,10509,27
1050,36211,57
531,24101,17
1207,19203,91
1946,1786,24
1039,14199,84
599,49070,28
511,5964,81
213,9656,58
1990,30504,84
278,46531,47
1733,43534,42
361,31921,82
945,9092,47
1055,9362,91
916,49417,61
1520,36338,3
1730,34440,25
1288,28514,43
52,15055,18
1608,16513,66
444,30261,25
541,34797,1
482,1463,4
154,17266,68
1955,7467,42
1687,43991,39
1194,18011,60
1051,41994,53
862,43578,2
1569,14174,42
341,26310,47
876,24149,48
1939,14802,85
799,6503,39
1665,1573,51
1592,48374,59
694,34296,88
1327,21004,35
777,41110,40
74,32736,13
1483,15413,14
1788,38044,17
145,13607,48
51,25448,29
1380,41347,20
1638,29062,47
1629,45020,36
287,40184,70
1477,8943,70
516,325,79
443,8767,5
523,28481,28
429,30684,16
98,17721,64
1957,15638,79
1928,36051,100
555,3317,66
1114,15607,42
1044,15899,78
1047,31770,41
836,23133,94
428,46338,42
1184,12310,13
1707,49126,96
713,22825,61
804,6311,81
911,33970,37
858,43064,10
849,34676,4
1936,39930,100
807,35032,78
1112,41139,12
515,27030,82
964,9703,1
1417,23070,79
1379,12048,31
676,35057,83
1886,32150,2
619,21456,29
563,17224,87
1009,42990,13
345,45558,38
1149,25636,40
1878,45316,58
1414,19624,52
895,14481,71
305,46064,38
15,33033,16
264,3627,44
1622,27082,72
431,15888,21
1063,32374,54
339,31002,8
640,42089,72
634,3714,66
1034,24923,51
1974,47445,93
534,18766,39
657,11248,40
1630,39892,88
1110,16662,71
1544,7141,89
1469,25214,22
70,35048,6
1202,42686,22
1818,13706,97
1338,30849,11
856,46496,61
696,27349,11
1638,38472,34
498,43522,49
332,826,21
1418,19267,50
1479,49203,63
537,46328,48
302,11498,53
935,26047,94
528,12732,89
891,26172,93
1343,12679,35
190,48688,92
1339,46876,82
30,9983,85
849,17096,75
866,40022,29
173,37355,61
1876,11819,2
14,45101,94
97,7174,56
1452,49191,70
1072,40376,34
1875,15827,28
1796,37347,94
1003,44693,70
622,25624,24
1013,12537,62
1610,3748,93
1012,35700,58
252,24203,23
981,41962,56
1431,49848,39
1777,3828,25
1885,7545,83
661,26554,8
1541,1576,11
482,44823,52
16,14397,63
1771,29576,38
481,10668,91
982,43724,69
1155,22338,11
1948,12145,81
84,20258,68
1435,9027,59
746,43037,96
391,17920,29
489,49166,17
796,49861,5
1332,32189,33
1343,30182,4
1794,16886,5
1172,40925,10
1291,33945,43
1631,5046,51
69,44905,58
804,4746,29
1476,23045,19
1899,7158,33
816,46320,30
1310,34137,71
1421,19465,47
377,23146,57
388,7864,8
50,10332,41
1644,29688,50
1557,46261,13
1616,28570,21
144,3204,57
120,22422,40
1625,49976,30
80,41176,51
384,43630,63
1253,37569,48
1440,15313,93
1323,48336,76
1426,1628,96
1280,42181,22
1499,32951,85
566,11549,48
1820,24369,27
909,8590,80
885,35765,57
89,27125,45
1519,1394,14
1460,24435,67
1612,4785,17
1027,23896,58
736,4371,95
213,46461,93
683,10299,19
1909,23785,12
708,31689,38
1466,34678,70
1783,36514,57
876,1661,90
78,26593,55
748,25815,98
1648,27773,52
946,4114,97
181,30987,33
1406,36232,18
646,8602,92
588,9646,53
1682,10924,87
1098,11924,64
1434,26515,62
574,1454,19
214,13195,60
714,31602,30
1196,48306,54
376,933,87
141,46423,58
925,40505,61
169,48603,50
439,46401,8
412,30723,29
1274,33309,74
969,28516,85
1617,49411,35
1878,2598,29
682,12728,89
93,45619,78
1924,44576,29
1884,45570,16
596,8451,64
63,26886,45
1937,428,89
1017,5058,45
475,24987,41
1400,46255,35
508,33479,43
714,20805,69
1573,17584,91
210,42574,28
1608,38773,58
1354,47588,99
1397,34419,18
1216,14740,23
1058,44880,55
1196,22242,27
1302,8475,53
1531,2998,55
1390,30207,84
1429,41883,27
1965,43053,89
425,24129,70
31,8021,65
1893,21686,20
697,40604,40
490,6146,69
1186,19270,5
285,25231,89
1523,30821,89
1594,38530,33
1425,35517,70
643,49710,63
420,16748,28
921,32590,44
1667,38474,68
112,5676,73
518,40561,17
659,5048,50
442,34868,1
1895,28838,95
85,11941,19
752,43067,12
622,38384,80
1491,181,22
1256,6078,29
85,11000,2
687,28110,37
1017,15121,13
982,5345,64
1769,413,27
1129,25045,21
220,36502,97
1863,24345,29
1003,33505,82
882,8323,76
1006,1755,67
1121,33190,24
1134,48681,73
1969,19008,97
278,517,38
1302,30813,77
444,29401,89
1909,28121,17
770,35121,43
1968,3931,75
663,20486,46
1156,32324,11
1933,26493,65
330,39333,24
385,37684,4
1711,38089,71
1190,44021,63
1883,22361,13
1150,47964,42
969,36248,49
989,16165,9
935,48409,54
178,33236,23
849,4598,19
1559,42028,36
181,3857,21
1439,18937,17
425,21588,45
501,7026,42
637,15814,62
1424,36553,36
287,9552,27
307,35996,80
1798,36059,64
881,48378,97
47,40975,44
66,5784,45
1336,36636,18
1595,21820,68
610,16339,89
895,32758,15
1269,1831,30
687,38364,87
254,41244,27
740,2553,83
1423,5055,82
579,48290,59
1246,40473,13
457,25441,89
593,17910,70
747,23754,74
1734,46341,6
1706,24986,91
1308,24904,80
1811,38504,10
837,27502,60
1631,26530,89
1822,8639,49
1094,42080,1
949,50021,56
692,41224,23
1928,39869,6
1362,14348,36
77,23369,58
222,38114,35
1426,24664,38
843,8074,21
1442,44922,35
1677,18174,74
540,12796,63
303,47479,92
1223,29276,65
247,5910,83
44,18111,52
902,6890,64
1148,4644,79
1612,35877,81
1027,49093,62
1422,13286,13
1838,44080,59
1926,26611,67
623,38990,21
22,24140,13
922,15834,26
1463,5124,63
1681,3613,86
668,17203,50
130,36912,69
1326,33737,27
1649,36338,88
886,1741,48
531,12462,9
252,13514,11
160,9626,85
1699,36175,13
675,29267,18
1775,20990,21
1248,47464,55
994,44240,37
